"MEdarkred"	"MEgreen"	"MEpink"	"MEtan"	"MEviolet"	"MEsteelblue"	"MEsaddlebrown"	"MEyellow"	"MEdarkturquoise"	"MEmidnightblue"	"MEturquoise"	"MEdarkolivegreen"	"MEpaleturquoise"	"MEgrey60"	"MElightyellow"	"MEskyblue"	"MEwhite"	"MEdarkgrey"	"MEsalmon"	"MEblack"	"MEgreenyellow"	"MElightgreen"	"MEdarkorange"	"MEblue"	"MEroyalblue"	"MElightcyan"	"MEmagenta"	"MEcyan"	"MEbrown"	"MEdarkgreen"	"MEpurple"	"MEorange"	"MEred"	"MEgrey"
"CC1327.202.Pre"	-0.176035070547957	0.0181992117202105	-0.0917528723167057	-0.1597674049552	-0.376807475888314	-0.225625827609758	-0.0667578515973359	-0.119851703700003	0.0668346393737107	-0.0923619277772358	-0.165887711455438	-0.351811285897368	-0.388160316145548	-0.0114198611991023	0.088848679925794	0.079620605147724	0.165599182557559	0.290810209270319	0.270872504666041	0.250493628239148	0.211416955558902	-0.108996054773615	0.022401273431784	-0.161796532732024	-0.128676613595496	-0.0986970833928209	-0.0871429977746004	0.220165264741448	0.0421108732404063	0.166261312335922	0.136155283946491	0.0252928378994248	0.0740009787866717	-0.373758917177004
"CC1329.202.Pre"	-0.0748878457089948	-0.051992476205931	-0.0798888473509818	-0.11582920672441	-0.0462614834714833	-0.0597664915602443	-0.0212769188671704	-0.028981995076942	0.049942862733114	0.0210149767204042	-0.0140825229385294	0.0427771696496664	0.0657979690080486	0.0649631513286106	0.110691234199442	0.108146048356219	0.054034534764768	0.112561227466049	0.110602641714496	0.0673641403679867	0.0705439217558506	-0.0210898732533069	-0.0295479150945558	-0.0160736246559542	-0.0417618598033379	-0.0587543791927385	-0.0602484381041227	0.166481486017394	0.0621825213518112	0.108107630293907	0.0881125144228594	0.0315499249996501	0.0482051651952446	-0.0110271948315358
"CC1368.202.Pre"	0.0976061416009857	0.166945179999494	0.256403285864186	0.294584481075188	0.00403662386062119	0.194807049231771	0.345057155725028	0.247599188046841	0.31328376025698	0.151623015294479	0.275407382635424	-0.178008578302635	-0.12897343846539	0.0121613429869832	-0.152384222253912	-0.251316976508806	-0.0114493250367636	-0.0819313187892647	-0.0917664557001852	0.0182041629221321	0.136437264521125	-0.0716877023260445	-0.251447725431645	-0.177211614730594	-0.135533607544121	-0.123304746076285	-0.0667714053020705	-0.241205353829514	-0.29121389314134	-0.311104855649219	-0.267976877539493	-0.301049872720188	-0.311470231420337	-0.0250841550210206
"CC1409.203.Pre"	-0.156627468231163	-0.108984892058709	-0.0814448232872731	0.0371620413706314	-0.221013156666043	-0.243584046940341	-0.112111780088284	-0.147842612849315	-0.0286178808739141	-0.139052021756346	-0.152589102912749	0.0400483300305371	-0.0110467752949146	0.0493738504450187	0.154036968948749	0.100908696018764	0.00596180770965185	0.149531480644977	0.098411759702779	0.0611018188755111	-0.0249326680265122	0.294271955622215	0.112550010956743	0.00537212569959651	-0.0358620535340566	-0.00460740106791568	-0.0488696443246943	-0.165190407177318	0.114903943894175	0.152382425730052	0.179252788366087	0.158543734819062	0.211789362611565	-0.203379694872904
"CC1420.204.Pre"	-0.0014295334732477	0.0359507368264964	0.0119041740956293	0.0433225025799121	-0.159628616846504	-0.140296626245435	-0.0910455012762735	-0.0981572634855759	-0.102722845590781	-0.158232516102763	-0.161341314487884	-0.0399552800560362	-0.103566542552881	-0.0687264670677632	0.00847500480397064	-0.146580244997594	-0.214632187853388	0.0284738860856975	0.00970029203094906	0.0224261970196943	-0.062560582648258	0.0533574698708324	0.142439646719294	0.0701112088035057	0.0577310818648742	0.128571997608567	0.0885149629686308	0.0132238047893627	0.0504911467006904	0.0894217910610882	0.0884436770576768	0.131377491480533	0.12320726072341	-0.0607277057541466
"CC1566.203.Pre"	0.12270700350319	0.0920505372326602	0.149317949931365	0.259763648561463	0.00764817213890064	-0.00176802560524267	-0.0247495336438518	0.00152147037589359	-0.179261807671715	-0.0898896268855848	-0.0686355469931113	0.00140643950439066	-0.0722244901989021	-0.125511022202056	-0.155937583053005	-0.189645658689055	0.139730300455661	-0.233518306450934	-0.237105707367911	-0.149377658584534	-0.21034031216312	-0.210481016539479	0.122000598884179	0.0603071592400939	0.117180035739628	0.128816889959667	0.136831182249375	-0.0916944004879088	-0.0436452573714325	-0.0787328950677419	-0.0574138395017323	0.0726411389014879	0.0353735731121133	-0.0592118082864489
"CC1628.201.Pre"	-0.0493808800159414	-0.15962168496984	-0.0614811745223535	-0.0180793844951255	-0.0818706480504766	-0.127078131223269	-0.252172160810029	-0.106597480981147	-0.231588810234502	-0.0713311514275176	-0.100730966253555	0.306602295806377	0.0383521803967193	0.0471257418831112	0.0943456855435337	0.176332448925962	0.0818602634312969	-0.129181848790517	-0.192120284206774	-0.377577012624208	-0.423108752663832	0.316391004064397	0.21656909209989	0.0622833430156903	0.045169253077196	0.128339973410244	0.069055248325017	0.00822717743516029	0.111306580916878	0.131911511276859	0.146430860157922	0.285385710432273	0.330766754425273	0.0342756491050296
"CC1668.201.Pre"	-0.409367291067742	-0.50787044108266	-0.247764944853936	-0.0470124864241061	-0.133861249240931	-0.12013665363881	-0.186143747276942	-7.34030032687415e-05	0.0595106943710965	0.287572936120663	0.161676425372669	0.402581062576691	0.258974925266477	0.451071939081496	0.421430632885143	0.125111569959621	0.0979040827949577	0.121111263820255	-0.0215049380065346	-0.215638171499659	-0.29912904364618	-0.218381727811374	-0.0347021509143624	-0.158887956479337	-0.203083065931317	-0.233877409922267	-0.364980716974341	0.164028557746414	0.123478173291263	0.213433270602377	0.251492440926619	0.204060818592514	0.395976183963209	0.045439116011589
"CC1327.202.Post"	-0.297377530013566	-0.216102683454763	-0.2582332868892	-0.206636250652165	-0.114020968234919	-0.152469371401404	-0.123433704492239	-0.0915055252454659	0.0670804056217626	0.114765137591525	-0.00818366801147695	0.0742050823990656	0.138819369359372	0.172589387559593	0.240954221424233	0.106395242089287	0.0520283204345356	0.217376270977138	0.197245416990476	0.121753723692019	0.0981168030891718	-0.233205539672755	-0.0465075916103238	-0.0358313042756178	-0.0962194192739275	-0.159250885674847	-0.21264136411999	0.264724200479468	0.161575471877407	0.217553995248234	0.189023170722196	0.0874041258783613	0.129737394117095	-0.00520741555297014
"CC1360.201.Post"	0.0540498110248217	0.0329942662921103	0.0821310218935093	-0.00882843266480501	0.0726197908411668	0.139629531645437	0.146359232561854	0.142672980196669	0.114510633720235	0.0980470324253652	0.145658996879543	-0.00397281482289293	0.0517071761751866	0.0149424935097779	-0.10025184405782	0.107369537079612	0.0901211241803784	-0.0572756647683447	-0.0384345038109286	-0.0114395617295748	0.063218813112087	0.0266954940644002	-0.121588824865671	-0.0597187654837608	-0.0623381861930667	-0.0680642450806315	-0.0380002446974271	-0.0390455184221868	-0.116073231150386	-0.130112513918329	-0.138202369986123	-0.149067561971415	-0.126955010662144	0.0333448849147736
