"PrePost"	"PreDay1"	"PreWk1"	"PreWk2"	"PreWk4"	"Ho 2R6R"	"Ho 2S6S"	"Ho E2"	"Ho E2&2R6R"	"Ho E2&2S6S"	"Ho E2&Ket"	"Ho Ket"
"ENSG00000146842.17"	-0.478084524050138	-0.16135155847372	-0.157208018318062	-0.291704119602564	-0.269712733239052	-0.537195100623832	-0.119115419803626	-0.316348365644751	-0.137976529528668	0.08844288269818	-0.408385923765477	-0.100596341531176
"ENSG00000119711.12"	-0.530328122414276	-0.404699120790574	-0.127814412261797	-0.310845969327679	-0.308839382492005	0.127664067913519	0.690699601288754	0.050574081868219	0.709400194478234	0.58844769282308	-0.107417688794932	0.292391532366121
"ENSG00000148660.20"	0.481394677229721	0.161446012940652	0.16721180037876	0.227662160210853	0.183419531523008	0.275715245938994	0.593753938720059	0.268055896920516	0.543146050052379	0.334229732748409	0.478961372102098	0.311645611464736
"ENSG00000125249.7"	-0.619412945277311	-0.351797608496059	-0.148729706514642	-0.509275138828898	-0.314312490643137	-0.840182675705864	-0.831411878011972	-0.618558076896904	-0.890004374036846	-0.476218679259856	-0.962487434662103	-0.402875611931069
"ENSG00000163428.4"	-0.529345788628286	-0.285067700907999	-0.258654783619657	-0.436633864479001	-0.307434232321085	-0.838937528106031	-0.908287643864988	-0.600907637457752	-1.0233268922975	-0.611279640874992	-0.992785184730722	-0.482944640788139
"ENSG00000184743.12"	-0.393850367943124	-0.420007254303899	-0.178054453170792	-0.346325743749607	-0.332592988995577	-0.39604574896792	-0.456076842695739	-0.25284318631485	-0.526428177687361	-0.361316121366308	-0.495175117970021	-0.220551902971038
"ENSG00000179134.15"	0.370457320618988	0.0619945423135011	0.0234896775571247	0.168273722867992	0.0570533763489083	0.0936062187030213	0.208760280164429	0.193166947782435	0.208048658568962	0.0167992185982691	0.353111855775446	0.041346175181868
"ENSG00000141012.13"	0.57584091733153	0.304296609522333	0.0780656650779656	0.271370928894999	0.142955109403837	0.486733283194137	0.512200409462212	0.446584997136187	0.591583697498455	0.412944645791669	0.494816387493333	0.277878148845511
"ENSG00000104331.9"	-0.436722937745825	-0.228120841098193	-0.131229493490512	-0.325419695734132	-0.227663967883928	-0.693368822337147	-0.616644229998148	-0.504219550485103	-0.594099153686932	-0.415317508754555	-0.814839987538869	-0.330334007252475
"ENSG00000111727.12"	-0.529569850343529	-0.122764249413577	-0.202293591606	-0.284300316356719	-0.141910874179745	-0.799258508856847	-0.891573540619094	-0.69728184381123	-1.08739514206252	-0.5045004670013	-0.959246355859269	-0.825832270827179
"ENSG00000160131.13"	-0.520418115150893	-0.30849596043666	-0.227337798328557	-0.417756385804147	-0.292224404065723	-0.434805256609126	-0.551746025200279	-0.454253590834333	-0.602650544826689	-0.386449166277935	-0.624767454320458	-0.263206039682126
"ENSG00000180694.14"	-0.488393140237791	-0.342575893548237	-0.145281324347259	-0.460125537317211	-0.351838468054703	-0.375361638447245	-0.463185475474134	-0.0964760640716671	-0.520160940900953	-0.193784847988727	-0.342114693531377	-0.0130470679567409
"ENSG00000204217.13"	-0.392006338244423	-0.415283103275365	-0.23482397719822	-0.379232138292985	-0.418353727862526	-0.597640001457289	-0.417149992141287	-0.367624927211648	-0.490764818135567	-0.259571872694958	-0.78446110384301	-0.212350353564067
"ENSG00000284526.1"	0.922433280927828	0.253868570655232	0.251057308375746	0.490827828907002	0.179528871955039	-0.0804403293201954	-0.166097243632414	-0.0678559165711015	-0.123261322197456	-0.1095952952077	-0.29999647546665	-0.24827445395543
"ENSG00000091592.16"	0.455949868755557	0.244695656771194	0.0563006614323243	0.236880446058262	0.129378097262096	0.0462027008355372	0.637797780855128	0.19897584092004	0.573338184493769	0.383452147042472	0.416211457019458	0.364683199712183
"ENSG00000172985.10"	0.778555252760006	0.349191532666092	0.104535689423638	0.297542354580108	0.150201925700741	0.0865290808795942	0.183721989598038	0.222773395486529	0.186835005538294	0.200600405152739	0.516977836256878	0.143362774850062
"ENSG00000162591.16"	0.707843270563052	0.551999496840965	0.1447748250592	0.522490191227678	0.335991935466898	0.457327188162299	0.732658319184755	0.621417740326077	0.780967202778497	0.707504412783715	0.408223202626181	1.05609925093542
"ENSG00000012822.16"	0.455187060331582	0.116888763720946	0.177501392692142	0.235829901499723	0.165083971011758	0.446767316051243	0.752795968692769	0.305504728619522	0.775260690878829	0.525270199891216	0.490987329818086	0.532435070034725
"ENSG00000120137.7"	-0.496075003985085	-0.357098947532799	-0.298038490864201	-0.446657418739878	-0.381924757395276	-0.921474858739799	-0.544396642333634	-0.59098920281213	-0.501077794930969	-0.0426249994251044	-1.09226329370743	-0.415664884662034
"ENSG00000163577.8"	-0.6769450960757	-0.360087614580013	-0.0776989674254551	-0.276512828326377	-0.0547133020707933	-0.58400470355606	-0.466048573050571	-0.414976809854986	-0.641494751990587	-0.30572417286298	-0.857184102473824	-0.487442484572619
"ENSG00000237441.10"	0.625350406342721	0.203887622824799	0.091925403104141	0.283142527688356	0.149632228594673	0.415837323590802	0.947515692144033	0.374222190402522	0.887377315652278	0.59146955025766	0.638077632096271	0.476833405546842
"ENSG00000205517.12"	1.75205015179603	1.0004988684822	1.02836099355996	0.959816475323634	0.677192054856731	0.279351775179169	1.31159111616678	0.595696380971573	1.52611230880249	1.34080448067662	0.808882780544449	0.968183254371631
"ENSG00000110958.16"	-0.386055132928926	-0.383054063125593	-0.162955358794415	-0.368968049687955	-0.238050961687265	-0.501641016092078	-0.464738364979734	-0.411684676025894	-0.563769505664473	-0.28922910415565	-0.733505173397407	-0.337436001609538
"ENSG00000168071.22"	0.688274899064522	0.296355388555532	0.208836747734121	0.373252281106899	0.217609042662779	0.541521487448383	0.511582956721748	0.729686959149413	0.629178921421708	0.434759719957428	0.592176780143341	0.769784020227794
"ENSG00000248712.7"	1.09475418857555	0.387224396939079	0.404950987453316	0.481893175905962	0.597878836074143	0.568315437116455	0.648685799453838	0.0924898006142296	0.791878126078525	0.769303051997964	0.704845613351965	0.0780495517482487
"ENSG00000142552.8"	0.860395593177433	0.359464471756059	0.150313669386055	0.316994394219419	0.188955066008235	0.606394863339843	0.599002188121138	0.268991581472431	0.710049158627044	0.368614726895158	0.851807979985929	0.397823753087185
"ENSG00000180917.17"	-0.558689951263752	-0.0946223040791798	-0.205735973728259	-0.281574874813055	-0.0368844172881513	-0.825243627170857	-0.899951192937059	-0.643637300162681	-0.935395158949902	-0.453320607211479	-1.00653653291376	-0.597425584864577
"ENSG00000166987.15"	0.629787304672783	0.127366514190181	0.140262452201903	0.268487281957565	0.0451139943006984	0.248569667790353	0.234868401393108	0.318650976472573	0.251471645970699	-0.126841078705236	0.399041705065461	0.177312121354134
"ENSG00000164040.16"	-0.411124659393761	-0.227434299846077	-0.187697858697596	-0.299904784439984	-0.197808719089968	-0.267906744347907	-0.210423682555123	-0.259308003639017	-0.182739027524668	-0.0332077876772905	-0.599018975060769	-0.0956118090313645
"ENSG00000153113.23"	-0.316453157260677	-0.333997814865096	-0.151866006947822	-0.280310062402981	-0.293048618796268	-0.511360318719917	-0.5270040193213	-0.373240521484351	-0.69391179751448	-0.432377009515595	-0.775755245135919	-0.373425791341794
