"PrePost"	"PreDay1"	"PreWk1"	"PreWk2"	"PreWk4"	"Cathomas"
"ENSG00000167261.14"	0.787392841329991	0.38942380082991	0.297221029993673	0.463584434831563	0.346206943221972	0.113286611559946
"ENSG00000146842.17"	-0.478084524050138	-0.16135155847372	-0.157208018318062	-0.291704119602564	-0.269712733239052	-0.443484417633536
"ENSG00000119711.12"	-0.530328122414276	-0.404699120790574	-0.127814412261797	-0.310845969327679	-0.308839382492005	-0.102228852590021
"ENSG00000226862.1"	1.01226430046407	0.37987562328544	0.0846658333217498	0.396336075614289	-0.0299268568190645	0.238468589743277
"ENSG00000148660.20"	0.481394677229721	0.161446012940652	0.16721180037876	0.227662160210853	0.183419531523008	0.121254030026229
"ENSG00000125249.7"	-0.619412945277311	-0.351797608496059	-0.148729706514642	-0.509275138828898	-0.314312490643137	-0.18037222888818
"ENSG00000163428.4"	-0.529345788628286	-0.285067700907999	-0.258654783619657	-0.436633864479001	-0.307434232321085	-0.205055890061946
"ENSG00000184743.12"	-0.393850367943124	-0.420007254303899	-0.178054453170792	-0.346325743749607	-0.332592988995577	-0.0693560914232263
"ENSG00000179134.15"	0.370457320618988	0.0619945423135011	0.0234896775571247	0.168273722867992	0.0570533763489083	0.195085776904103
"ENSG00000241527.1"	0.842731113538719	0.242878624863963	0.231963724680386	0.296371390306304	0.383967070696949	0.0137504353568789
"ENSG00000141012.13"	0.57584091733153	0.304296609522333	0.0780656650779656	0.271370928894999	0.142955109403837	0.16697221949059
"ENSG00000104331.9"	-0.436722937745825	-0.228120841098193	-0.131229493490512	-0.325419695734132	-0.227663967883928	0.0103836196291542
"ENSG00000111727.12"	-0.529569850343529	-0.122764249413577	-0.202293591606	-0.284300316356719	-0.141910874179745	-0.309969068478899
"ENSG00000240710.1"	0.57454936680098	0.438815880814662	0.173324840892634	0.317301766562595	0.292631079136369	0.279632369281428
"ENSG00000160131.13"	-0.520418115150893	-0.30849596043666	-0.227337798328557	-0.417756385804147	-0.292224404065723	-0.0824563276006502
"ENSG00000180694.14"	-0.488393140237791	-0.342575893548237	-0.145281324347259	-0.460125537317211	-0.351838468054703	-0.213907693877612
"ENSG00000204217.13"	-0.392006338244423	-0.415283103275365	-0.23482397719822	-0.379232138292985	-0.418353727862526	0.0366255110848881
"ENSG00000284526.1"	0.922433280927828	0.253868570655232	0.251057308375746	0.490827828907002	0.179528871955039	0.635094342929549
"ENSG00000091592.16"	0.455949868755557	0.244695656771194	0.0563006614323243	0.236880446058262	0.129378097262096	0.215210808635454
"ENSG00000172985.10"	0.778555252760006	0.349191532666092	0.104535689423638	0.297542354580108	0.150201925700741	0.143799996101578
"ENSG00000162591.16"	0.707843270563052	0.551999496840965	0.1447748250592	0.522490191227678	0.335991935466898	0.19566136440065
"ENSG00000012822.16"	0.455187060331582	0.116888763720946	0.177501392692142	0.235829901499723	0.165083971011758	0.126242280020575
"ENSG00000120137.7"	-0.496075003985085	-0.357098947532799	-0.298038490864201	-0.446657418739878	-0.381924757395276	-0.12283697535125
"ENSG00000163577.8"	-0.6769450960757	-0.360087614580013	-0.0776989674254551	-0.276512828326377	-0.0547133020707933	-0.0249214118545706
"ENSG00000127084.19"	0.492665847211624	0.180960015597982	0.0773212234881377	0.204116935138932	0.0909898800518061	0.256417899568547
